,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2019-10-22,Toronto Raptors,New Orleans Pelicans,231.5,6.5,-280,230,252,8
1,2019-10-22,Los Angeles Clippers,Los Angeles Lakers,227,1.5,150,-180,214,10
2,2019-10-23,Indiana Pacers,Detroit Pistons,210,5,-300,240,229,-9
3,2019-10-23,Orlando Magic,Cleveland Cavaliers,212.5,7.5,-550,400,179,9
4,2019-10-23,Charlotte Bobcats,Chicago Bulls,218.5,1.5,145,-170,251,1
5,2019-10-23,Philadelphia 76ers,Boston Celtics,215,6,-240,190,200,14
6,2019-10-23,Miami Heat,Memphis Grizzlies,210.5,7.5,-300,240,221,19
7,2019-10-23,Brooklyn Nets,Minnesota Timberwolves,225.5,5,-165,142,253,-1
8,2019-10-23,San Antonio Spurs,New York Knicks,214,9.5,-750,525,231,9
9,2019-10-23,Dallas Mavericks,Washington Wizards,223,8.5,-450,350,208,8
10,2019-10-23,Utah Jazz,Oklahoma City Thunder,222,9.5,-500,375,195,5
11,2019-10-23,Phoenix Suns,Sacramento Kings,233,2.5,-105,-115,219,29
12,2019-10-23,Portland Trail Blazers,Denver Nuggets,219.5,2.5,100,-120,208,-8
13,2019-10-24,Detroit Pistons,Atlanta Hawks,222,1.5,-125,105,217,-17
14,2019-10-24,Houston Rockets,Milwaukee Bucks,231.5,2,-120,100,228,-6
15,2019-10-24,Golden State Warriors,Los Angeles Clippers,225,0,-110,-110,263,-19
16,2019-10-25,Boston Celtics,Toronto Raptors,217.5,3,-140,120,218,6
17,2019-10-25,Charlotte Bobcats,Minnesota Timberwolves,229,4,180,-220,220,-22
18,2019-10-25,Brooklyn Nets,New York Knicks,225.5,8.5,-360,280,222,4
19,2019-10-25,Oklahoma City Thunder,Washington Wizards,218.5,6.5,-400,300,182,-12
20,2019-10-25,New Orleans Pelicans,Dallas Mavericks,228,2,-130,110,239,-7
21,2019-10-25,Memphis Grizzlies,Chicago Bulls,220.5,1,105,-125,212,-8
22,2019-10-25,Denver Nuggets,Phoenix Suns,221,11.5,-1000,650,215,1
23,2019-10-25,Sacramento Kings,Portland Trail Blazers,226.5,1,100,-120,234,-10
24,2019-10-25,Los Angeles Lakers,Utah Jazz,218,2,-160,140,181,9
25,2019-10-26,Milwaukee Bucks,Miami Heat,226.5,9.5,-800,550,257,-5
26,2019-10-26,Detroit Pistons,Philadelphia 76ers,214,5,160,-190,228,-6
27,2019-10-26,New York Knicks,Boston Celtics,210,1,190,-240,213,-23
28,2019-10-26,Atlanta Hawks,Orlando Magic,219,0,115,-135,202,4
29,2019-10-26,Cleveland Cavaliers,Indiana Pacers,213.5,5.5,160,-190,209,11
30,2019-10-26,Chicago Bulls,Toronto Raptors,223,3.5,135,-155,192,-24
31,2019-10-26,Houston Rockets,New Orleans Pelicans,236,10,-1000,650,249,3
32,2019-10-26,San Antonio Spurs,Washington Wizards,218,12,-1000,650,246,2
33,2019-10-26,Utah Jazz,Sacramento Kings,220,9.5,-450,350,194,32
34,2019-10-26,Phoenix Suns,Los Angeles Clippers,229.5,8.5,400,-550,252,8
35,2019-10-27,Oklahoma City Thunder,Golden State Warriors,223.5,1.5,-120,100,212,28
36,2019-10-27,Memphis Grizzlies,Brooklyn Nets,224,4,150,-180,267,1
37,2019-10-27,Minnesota Timberwolves,Miami Heat,223.5,6,-300,240,225,7
38,2019-10-27,Dallas Mavericks,Portland Trail Blazers,222,1.5,-145,125,240,-2
39,2019-10-27,Los Angeles Lakers,Charlotte Bobcats,216,14,-1400,800,221,19
40,2019-10-28,Detroit Pistons,Indiana Pacers,213.5,1,110,-130,190,2
41,2019-10-28,New York Knicks,Chicago Bulls,224,0,115,-135,203,7
42,2019-10-28,Atlanta Hawks,Philadelphia 76ers,223,4,230,-280,208,-2
43,2019-10-28,Toronto Raptors,Orlando Magic,212.5,5,-210,175,199,9
44,2019-10-28,New Orleans Pelicans,Golden State Warriors,239,2.5,-140,120,257,-11
45,2019-10-28,Milwaukee Bucks,Cleveland Cavaliers,222,14.5,-3000,1200,241,17
46,2019-10-28,Houston Rockets,Oklahoma City Thunder,225,10.5,-600,425,228,4
47,2019-10-28,San Antonio Spurs,Portland Trail Blazers,220,3.5,-250,200,223,3
48,2019-10-28,Phoenix Suns,Utah Jazz,217.5,4,160,-190,191,-1
49,2019-10-28,Sacramento Kings,Denver Nuggets,218,5,180,-220,195,-7
50,2019-10-28,Los Angeles Clippers,Charlotte Bobcats,225.5,15,-3000,1200,207,15
51,2019-10-29,Miami Heat,Atlanta Hawks,224.5,7,-400,300,209,15
52,2019-10-29,Denver Nuggets,Dallas Mavericks,216,6,-230,185,215,-3
53,2019-10-29,Los Angeles Lakers,Memphis Grizzlies,220,12,-850,575,211,29
54,2019-10-30,Orlando Magic,New York Knicks,208,7.5,-500,375,178,12
55,2019-10-30,Philadelphia 76ers,Minnesota Timberwolves,227,7,-310,250,212,22
56,2019-10-30,Cleveland Cavaliers,Chicago Bulls,216.5,1,110,-130,228,6
57,2019-10-30,Toronto Raptors,Detroit Pistons,211.5,8,-500,375,238,12
58,2019-10-30,Brooklyn Nets,Indiana Pacers,220.5,3,-150,130,226,-10
59,2019-10-30,Boston Celtics,Milwaukee Bucks,222,2.5,142,-165,221,11
60,2019-10-30,Washington Wizards,Houston Rockets,230.5,8.5,275,-350,317,-1
61,2019-10-30,Oklahoma City Thunder,Portland Trail Blazers,223,1,100,-120,201,-3
62,2019-10-30,Sacramento Kings,Charlotte Bobcats,224,7,-350,275,229,-7
63,2019-10-30,Utah Jazz,Los Angeles Clippers,216,1.5,-280,230,206,14
64,2019-10-30,Golden State Warriors,Phoenix Suns,229.5,6,-230,185,231,-11
65,2019-10-31,Atlanta Hawks,Miami Heat,216.5,6,220,-270,203,-9
66,2019-10-31,New Orleans Pelicans,Denver Nuggets,226,4.5,150,-180,229,15
67,2019-10-31,Los Angeles Clippers,San Antonio Spurs,225.5,5,-200,170,200,6
68,2019-11-01,Brooklyn Nets,Houston Rockets,241,3.5,160,-190,239,7
69,2019-11-01,Orlando Magic,Milwaukee Bucks,216,5,160,-190,214,-32
70,2019-11-01,Indiana Pacers,Cleveland Cavaliers,211,7.5,-330,260,197,7
71,2019-11-01,Boston Celtics,New York Knicks,213,10,-700,500,206,2
72,2019-11-01,Chicago Bulls,Detroit Pistons,218.5,2.5,-165,142,218,6
73,2019-11-01,Dallas Mavericks,Los Angeles Lakers,214.5,2,105,-125,229,-9
74,2019-11-01,Sacramento Kings,Utah Jazz,214,5.5,175,-210,203,1
75,2019-11-01,Golden State Warriors,San Antonio Spurs,225,4.5,240,-300,237,-17
76,2019-11-02,Oklahoma City Thunder,New Orleans Pelicans,226.5,2.5,-130,110,219,11
77,2019-11-02,Detroit Pistons,Brooklyn Nets,224,1,150,-180,222,4
78,2019-11-02,Orlando Magic,Denver Nuggets,204.5,5,150,-180,178,-4
79,2019-11-02,Memphis Grizzlies,Phoenix Suns,223.5,0,130,-150,219,-9
80,2019-11-02,Washington Wizards,Minnesota Timberwolves,221.5,1,-150,130,240,-22
81,2019-11-02,Milwaukee Bucks,Toronto Raptors,226,5,-260,210,220,10
82,2019-11-02,Golden State Warriors,Charlotte Bobcats,225.5,1,205,-255,180,-6
83,2019-11-02,Portland Trail Blazers,Philadelphia 76ers,217.5,3,-115,-105,257,-1
84,2019-11-03,Indiana Pacers,Chicago Bulls,214,3.5,-130,110,203,13
85,2019-11-03,Miami Heat,Houston Rockets,234,3,135,-155,229,29
86,2019-11-03,New York Knicks,Sacramento Kings,217.5,1,-105,-115,205,-21
87,2019-11-03,San Antonio Spurs,Los Angeles Lakers,216,0,100,-120,199,-7
88,2019-11-03,Cleveland Cavaliers,Dallas Mavericks,216,5,180,-220,242,-20
89,2019-11-03,Los Angeles Clippers,Utah Jazz,211,4.5,-200,170,199,11
90,2019-11-04,Washington Wizards,Detroit Pistons,225,2,-180,150,214,16
91,2019-11-04,Brooklyn Nets,New Orleans Pelicans,238,3.5,-170,145,260,10
92,2019-11-04,Minnesota Timberwolves,Milwaukee Bucks,230.5,7,260,-330,240,-28
93,2019-11-04,Memphis Grizzlies,Houston Rockets,235,7,190,-240,207,-7
94,2019-11-04,Phoenix Suns,Philadelphia 76ers,223,2,-110,-110,223,5
95,2019-11-04,Golden State Warriors,Portland Trail Blazers,224.5,9.5,600,-900,245,9
96,2019-11-05,Cleveland Cavaliers,Boston Celtics,213.5,6,210,-260,232,-6
97,2019-11-05,Charlotte Bobcats,Indiana Pacers,211.5,2.5,115,-135,242,2
98,2019-11-05,Atlanta Hawks,San Antonio Spurs,218,3.5,190,-240,208,8
99,2019-11-05,Oklahoma City Thunder,Orlando Magic,202.5,2.5,-145,125,196,8
100,2019-11-05,Chicago Bulls,Los Angeles Lakers,212,6.5,250,-310,230,-6
101,2019-11-05,Denver Nuggets,Miami Heat,209,4.5,-220,180,198,20
102,2019-11-06,Detroit Pistons,New York Knicks,211,2.5,-165,142,224,20
103,2019-11-06,Indiana Pacers,Washington Wizards,220.5,2.5,-150,130,227,15
104,2019-11-06,Toronto Raptors,Sacramento Kings,218,8,-350,275,244,4
105,2019-11-06,Houston Rockets,Golden State Warriors,232,15,-2500,1100,241,17
