,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
0,2015-16-1027,Chicago Bulls,Cleveland Cavaliers,197.5,2,-180,160,192,2
1,2015-16-1027,Atlanta Hawks,Detroit Pistons,197.5,7,-320,255,200,-12
2,2015-16-1027,Golden State Warriors,New Orleans Pelicans,214.5,9.5,-710,510,206,16
3,2015-16-1028,Orlando Magic,Washington Wizards,204.5,3.5,160,-180,175,-1
4,2015-16-1028,Boston Celtics,Philadelphia 76ers,198,11,-1300,800,207,17
5,2015-16-1028,Toronto Raptors,Indiana Pacers,198.5,5.5,-235,195,205,7
6,2015-16-1028,Brooklyn Nets,Chicago Bulls,194.5,6,175,-205,215,-15
7,2015-16-1028,Miami Heat,Charlotte Bobcats,193,6.5,-260,210,198,10
8,2015-16-1028,Detroit Pistons,Utah Jazz,188,2,-115,-105,179,5
9,2015-16-1028,Oklahoma City Thunder,San Antonio Spurs,208,5,-185,165,218,6
10,2015-16-1028,Milwaukee Bucks,New York Knicks,192.5,6.5,-205,175,219,-25
11,2015-16-1028,Houston Rockets,Denver Nuggets,212.5,10,-710,510,190,-20
12,2015-16-1028,Memphis Grizzlies,Cleveland Cavaliers,188.5,6,-215,185,182,-30
13,2015-16-1028,Portland Trail Blazers,New Orleans Pelicans,206,2.5,-125,105,206,18
14,2015-16-1028,Phoenix Suns,Dallas Mavericks,204,4.5,-260,210,206,-16
15,2015-16-1028,Sacramento Kings,Los Angeles Clippers,210.5,5,190,-230,215,-7
16,2015-16-1028,Los Angeles Lakers,Minnesota Timberwolves,202.5,3.5,-140,120,223,-1
17,2015-16-1029,Indiana Pacers,Memphis Grizzlies,185,3,125,-145,215,-9
18,2015-16-1029,New York Knicks,Atlanta Hawks,196,4,165,-185,213,-11
19,2015-16-1029,Los Angeles Clippers,Dallas Mavericks,211.5,9,-950,650,192,16
20,2015-16-1030,Cleveland Cavaliers,Miami Heat,196,7,-215,185,194,10
21,2015-16-1030,Philadelphia 76ers,Utah Jazz,190,7.5,260,-325,170,-28
22,2015-16-1030,Orlando Magic,Oklahoma City Thunder,206,6.5,300,-365,275,-3
23,2015-16-1030,Boston Celtics,Toronto Raptors,203.5,1.5,-130,110,216,-10
24,2015-16-1030,Detroit Pistons,Chicago Bulls,200,3,125,-145,192,4
25,2015-16-1030,Milwaukee Bucks,Washington Wizards,200,1,115,-135,231,-5
26,2015-16-1030,Atlanta Hawks,Charlotte Bobcats,195.5,5,-175,155,191,3
27,2015-16-1030,San Antonio Spurs,Brooklyn Nets,202,13.5,-1600,900,177,27
28,2015-16-1030,Denver Nuggets,Minnesota Timberwolves,207.5,5,-160,140,173,-17
29,2015-16-1030,Houston Rockets,Golden State Warriors,216,0,-105,-115,204,-20
30,2015-16-1030,Sacramento Kings,Los Angeles Lakers,210,5.5,-305,245,246,18
31,2015-16-1030,Phoenix Suns,Portland Trail Blazers,207.5,5,-200,170,202,18
32,2015-16-1031,Indiana Pacers,Utah Jazz,191,4.5,-160,140,173,-21
33,2015-16-1031,Washington Wizards,New York Knicks,202,7,-320,260,227,-7
34,2015-16-1031,New Orleans Pelicans,Golden State Warriors,212,5,200,-235,254,-14
35,2015-16-1031,Memphis Grizzlies,Brooklyn Nets,193,12,-955,705,192,10
36,2015-16-1031,Portland Trail Blazers,Phoenix Suns,204,3.5,-125,105,191,-11
37,2015-16-1031,Los Angeles Clippers,Sacramento Kings,215.5,11.5,-635,485,223,5
38,2015-16-1101,Charlotte Bobcats,Atlanta Hawks,193.5,1,120,-140,186,-2
39,2015-16-1101,Boston Celtics,San Antonio Spurs,202,4,210,-260,182,-8
40,2015-16-1101,Toronto Raptors,Milwaukee Bucks,204.5,7,-240,200,193,19
41,2015-16-1101,Miami Heat,Houston Rockets,204.5,1.5,-170,150,198,20
42,2015-16-1101,Chicago Bulls,Orlando Magic,200,9,-365,300,179,5
43,2015-16-1101,Oklahoma City Thunder,Denver Nuggets,211,12.5,-1300,800,210,24
44,2015-16-1101,Los Angeles Lakers,Dallas Mavericks,210.5,1,160,-180,196,-10
45,2015-16-1102,Philadelphia 76ers,Cleveland Cavaliers,196,12.5,850,-1450,207,-7
46,2015-16-1102,New York Knicks,San Antonio Spurs,204.5,7,270,-335,178,-10
47,2015-16-1102,Brooklyn Nets,Milwaukee Bucks,197.5,1,100,-120,199,-7
48,2015-16-1102,Houston Rockets,Oklahoma City Thunder,215,1,160,-180,215,5
49,2015-16-1102,Minnesota Timberwolves,Portland Trail Blazers,202,5,-170,150,207,-5
50,2015-16-1102,Golden State Warriors,Memphis Grizzlies,201,7.5,-475,380,188,50
51,2015-16-1102,Los Angeles Clippers,Phoenix Suns,212,10,-464,369,198,6
52,2015-16-1103,Charlotte Bobcats,Chicago Bulls,194,3,150,-170,235,25
53,2015-16-1103,Miami Heat,Atlanta Hawks,197,3,-175,155,190,-6
54,2015-16-1103,Detroit Pistons,Indiana Pacers,199,4.5,-185,165,176,-12
55,2015-16-1103,New Orleans Pelicans,Orlando Magic,204.5,4,-205,175,197,-9
56,2015-16-1103,Dallas Mavericks,Toronto Raptors,205.5,1,115,-135,193,-11
57,2015-16-1103,Sacramento Kings,Memphis Grizzlies,198.5,6,165,-185,192,-14
58,2015-16-1103,Los Angeles Lakers,Denver Nuggets,208,0,-150,130,229,-11
59,2015-16-1104,Washington Wizards,San Antonio Spurs,202.5,3.5,155,-175,201,3
60,2015-16-1104,Indiana Pacers,Boston Celtics,201.5,2,109,-129,198,2
61,2015-16-1104,Cleveland Cavaliers,New York Knicks,200,10.5,-725,525,182,10
62,2015-16-1104,Atlanta Hawks,Brooklyn Nets,198,9.5,-345,280,188,14
63,2015-16-1104,Milwaukee Bucks,Philadelphia 76ers,198,11,-400,325,178,4
64,2015-16-1104,Houston Rockets,Orlando Magic,207,9,-500,400,233,5
65,2015-16-1104,Oklahoma City Thunder,Toronto Raptors,211,8.5,-380,310,201,-5
66,2015-16-1104,Utah Jazz,Portland Trail Blazers,192,5.5,-300,240,200,-16
67,2015-16-1104,Phoenix Suns,Sacramento Kings,207,7,-525,405,215,21
68,2015-16-1104,Golden State Warriors,Los Angeles Clippers,218.5,8.5,-345,280,220,4
69,2015-16-1105,Chicago Bulls,Oklahoma City Thunder,208,1.5,-115,-105,202,6
70,2015-16-1105,Minnesota Timberwolves,Miami Heat,201,2.5,160,-180,180,-12
71,2015-16-1105,Dallas Mavericks,Charlotte Bobcats,198,4.5,-170,150,202,-14
72,2015-16-1105,Denver Nuggets,Utah Jazz,193.5,2,130,-150,180,-12
73,2015-16-1105,Portland Trail Blazers,Memphis Grizzlies,193,4,165,-185,211,19
74,2015-16-1106,Orlando Magic,Toronto Raptors,204,5.5,200,-240,179,5
75,2015-16-1106,Brooklyn Nets,Los Angeles Lakers,203,3.5,-155,135,202,-6
76,2015-16-1106,Boston Celtics,Washington Wizards,206,1.5,-125,105,216,20
77,2015-16-1106,Cleveland Cavaliers,Philadelphia 76ers,196.5,15.5,-1650,950,210,6
78,2015-16-1106,New York Knicks,Milwaukee Bucks,200.5,1.5,-120,100,191,-7
79,2015-16-1106,Indiana Pacers,Miami Heat,196.5,1,-105,-115,177,3
80,2015-16-1106,New Orleans Pelicans,Atlanta Hawks,202.5,2,120,-140,236,-6
81,2015-16-1106,Phoenix Suns,Detroit Pistons,200,4,-180,160,192,-8
82,2015-16-1106,Sacramento Kings,Houston Rockets,215,4,170,-200,226,-6
83,2015-16-1106,Golden State Warriors,Denver Nuggets,214.5,16.5,-7000,2000,223,15
84,2015-16-1107,Chicago Bulls,Minnesota Timberwolves,198,9,-475,380,195,-9
85,2015-16-1107,Philadelphia 76ers,Orlando Magic,193.5,4.5,125,-145,202,-8
86,2015-16-1107,Atlanta Hawks,Washington Wizards,204.5,3.5,-205,175,213,15
87,2015-16-1107,San Antonio Spurs,Charlotte Bobcats,197.5,10.5,-520,400,208,20
88,2015-16-1107,Milwaukee Bucks,Brooklyn Nets,195,7,-285,235,180,8
89,2015-16-1107,Dallas Mavericks,New Orleans Pelicans,207.5,4.5,-230,190,205,9
90,2015-16-1107,Utah Jazz,Memphis Grizzlies,185,1,-145,125,168,10
91,2015-16-1107,Sacramento Kings,Golden State Warriors,218,11.5,950,-1750,197,-9
92,2015-16-1107,Los Angeles Clippers,Houston Rockets,216.5,7,-245,205,214,-4
93,2015-16-1108,New York Knicks,Los Angeles Lakers,207,4.5,-245,205,194,4
94,2015-16-1108,Cleveland Cavaliers,Indiana Pacers,197,7,-370,305,198,4
95,2015-16-1108,Miami Heat,Toronto Raptors,195,2,-150,130,172,20
96,2015-16-1108,Oklahoma City Thunder,Phoenix Suns,212,9,-425,345,227,21
97,2015-16-1108,Portland Trail Blazers,Detroit Pistons,196,1.5,-130,110,223,-17
98,2015-16-1109,Philadelphia 76ers,Chicago Bulls,195.5,8.5,525,-725,199,-23
99,2015-16-1109,Indiana Pacers,Orlando Magic,194.5,4,-180,160,181,13
100,2015-16-1109,Atlanta Hawks,Minnesota Timberwolves,200.5,9,-400,325,224,-10
101,2015-16-1109,Denver Nuggets,Portland Trail Blazers,206,2.5,100,-120,212,4
102,2015-16-1109,Sacramento Kings,San Antonio Spurs,208.5,9,275,-340,194,-18
103,2015-16-1109,Los Angeles Clippers,Memphis Grizzlies,197,6.5,-290,230,186,2
104,2015-16-1109,Golden State Warriors,Detroit Pistons,208,14,-1300,800,204,14
105,2015-16-1110,Washington Wizards,Oklahoma City Thunder,217.5,4,230,-290,226,-24
106,2015-16-1110,Cleveland Cavaliers,Utah Jazz,186,5.5,-235,195,232,4
107,2015-16-1110,Miami Heat,Los Angeles Lakers,202,11,-800,575,189,13
108,2015-16-1110,Toronto Raptors,New York Knicks,196,9,-315,250,220,-2
109,2015-16-1110,New Orleans Pelicans,Dallas Mavericks,208.5,1.5,-145,125,225,15
110,2015-16-1110,Minnesota Timberwolves,Charlotte Bobcats,199,1.5,145,-165,199,-9
